hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457827.59675,bf,V,14.106,0.0248,8.737,0.199
2457800.56641,bf,V,13.973,0.02371,9.881,0.216
2457249.85106,bf,V,14.047,0.02428,9.224,0.206
2457060.57705,bf,V,13.561,0.02192,14.432,0.291
2457034.71622,bf,V,13.316,0.02201,18.087,0.366
2456878.89138,bf,V,13.683,0.0222,12.909,0.264
2458164.56966,bf,V,13.966,0.02366,9.939,0.216
2457134.49411,bf,V,13.767,0.02252,11.946,0.247
2457023.64842,bf,V,14.013,0.02401,9.518,0.21
2457775.75449,bf,V,13.916,0.02332,10.409,0.223
2457753.54643,bf,V,13.878,0.02308,10.786,0.229
2457049.60977,bf,V,14.012,0.024,9.526,0.21
2457821.61361,bf,V,13.63,0.02205,13.551,0.275
2457816.63883,bf,V,14.002,0.02392,9.617,0.212
2457700.77447,bf,V,13.585,0.02196,14.127,0.285
2457277.79121,bf,V,14.193,0.02566,8.064,0.19
2457056.59969,bf,V,13.974,0.02371,9.87,0.215
2457247.86027,bf,V,14.108,0.02482,8.724,0.199
2457133.48236,bf,V,13.878,0.02308,10.782,0.229
2457070.5875,bf,V,13.999,0.0239,9.641,0.212
2458157.67057,bf,V,13.555,0.02191,14.524,0.293
2458134.6998,bf,V,14.084,0.0246,8.922,0.202
2457662.73951,bf,V,13.978,0.02374,9.83,0.215
2457447.64221,bf,V,14.122,0.02495,8.614,0.198
2457080.58862,bf,V,13.894,0.02318,10.624,0.227
2457019.69811,bf,V,13.419,0.02186,16.455,0.331
2458029.7374,bf,V,13.824,0.02279,11.333,0.238
2457845.51259,bf,V,14.002,0.02392,9.618,0.212
2457837.58331,bf,V,13.52,0.02187,14.996,0.302
2457476.56549,bf,V,14.13,0.02503,8.549,0.197
2457044.62388,bf,V,13.705,0.02227,12.64,0.259
2458150.64383,bf,V,14.0,0.02391,9.632,0.212
2457807.61057,bf,V,13.484,0.02185,15.505,0.312
2457221.94469,bf,V,14.066,0.02444,9.071,0.204
2456991.72735,bf,V,14.088,0.02464,8.885,0.201
2458380.77855,bf,V,13.761,0.02249,12.006,0.248
2458142.68585,bf,V,13.497,0.02186,15.313,0.308
2457945.94921,bf,V,13.352,0.02194,17.511,0.353
2457770.76769,bf,V,14.05,0.02431,9.207,0.206
2457273.8654,bf,V,13.723,0.02234,12.433,0.256
2456993.66482,bf,V,14.017,0.02404,9.491,0.21
2456921.77537,bf,V,13.793,0.02263,11.664,0.243
2457805.60667,bf,V,13.687,0.02221,12.858,0.263
2457142.49883,bf,V,14.185,0.02558,8.123,0.191
2458096.84356,bf,V,13.792,0.02263,11.667,0.243
2457749.53775,bf,V,14.049,0.0243,9.21,0.206
2457082.55628,bf,V,13.99,0.02383,9.722,0.213
2457322.69882,bf,V,14.14,0.02512,8.472,0.196
2457043.63033,bf,V,13.798,0.02266,11.602,0.242
2457702.65486,bf,V,14.081,0.02458,8.942,0.202
2456964.74532,bf,V,14.02,0.02406,9.461,0.209
2456961.74229,bf,V,14.024,0.0241,9.422,0.209
2457830.60569,bf,V,14.068,0.02446,9.055,0.204
2457409.75874,bf,V,14.002,0.02392,9.617,0.212
2457062.59687,bf,V,13.425,0.02186,16.359,0.329
2457006.63286,bf,V,14.041,0.02423,9.275,0.207
2458127.54604,bf,V,14.083,0.02459,8.923,0.202
2458109.73634,bf,V,13.781,0.02258,11.788,0.245
2457858.48292,bf,V,14.069,0.02447,9.044,0.204
2457266.81094,bf,V,14.012,0.024,9.529,0.21
2457121.53233,bf,V,13.63,0.02205,13.552,0.275
2458376.79156,bf,V,13.998,0.02389,9.65,0.212
2457787.54293,bf,V,13.698,0.02225,12.722,0.26
2457698.7213,bf,V,13.586,0.02196,14.112,0.285
2457367.60975,bf,V,14.205,0.02579,7.977,0.189
2458161.55638,bf,V,14.047,0.02428,9.229,0.206
2457224.92552,bf,V,13.982,0.02377,9.798,0.214
2457288.78115,bf,V,13.558,0.02191,14.481,0.292
2457072.5705,bf,V,13.894,0.02318,10.623,0.227
2456935.75908,bf,V,13.869,0.02303,10.871,0.23
2457999.82681,bf,V,13.897,0.0232,10.598,0.226
2457834.57411,bf,V,13.84,0.02287,11.166,0.235
2457068.64683,bf,V,14.051,0.02432,9.19,0.206
2457064.61419,bf,V,13.43,0.02185,16.282,0.327
2457007.63577,bf,V,14.052,0.02433,9.189,0.206
2458146.73764,bf,V,13.483,0.02185,15.52,0.312
2458103.84713,bf,V,14.136,0.02508,8.498,0.196
2457835.56912,bf,V,13.658,0.02213,13.207,0.269
2457042.63506,bf,V,13.884,0.02312,10.719,0.228
2458382.83551,bf,V,13.748,0.02244,12.151,0.251
2457003.64368,bf,V,14.196,0.02569,8.045,0.19
2456846.95005,bf,V,13.883,0.02311,10.732,0.228
2458083.8537,bf,V,13.531,0.02188,14.843,0.299
2457067.57929,bf,V,14.033,0.02417,9.346,0.208
2457047.61035,bf,V,13.279,0.0221,18.728,0.381
2457778.55081,bf,V,14.107,0.02481,8.733,0.199
2457592.9225,bf,V,13.751,0.02245,12.122,0.25
2457448.64705,bf,V,14.12,0.02493,8.629,0.198
2457312.82576,bf,V,14.023,0.02409,9.431,0.209
2457079.56094,bf,V,13.787,0.02261,11.727,0.244
2456791.47334,bf,V,14.027,0.02412,9.399,0.209
2458023.74811,bf,V,14.031,0.02415,9.364,0.208
2457256.8372,bf,V,13.751,0.02245,12.124,0.25
2458360.83524,bf,V,14.06,0.02439,9.119,0.205
2458090.70359,bf,V,13.914,0.0233,10.428,0.224
2457649.77585,bf,V,13.885,0.02312,10.713,0.228
2458102.8505,bf,V,13.465,0.02185,15.77,0.317
2458007.79561,bf,V,14.115,0.02488,8.672,0.199
2457718.66966,bf,V,14.135,0.02507,8.507,0.196
2457304.72687,bf,V,13.347,0.02195,17.583,0.355
2457050.61451,bf,V,14.163,0.02535,8.296,0.193
2456973.71935,bf,V,13.559,0.02192,14.463,0.292
2458136.68013,bf,V,13.944,0.0235,10.151,0.219
2458056.69274,bf,V,14.039,0.02422,9.299,0.207
2458043.71961,bf,V,13.91,0.02328,10.473,0.224
2457817.6401,bf,V,14.01,0.02398,9.551,0.211
