,t,Flux,Flux_error
1619,1546.6400535959358,189792.7,49.216152
1620,1546.641442498689,189829.0,49.23096
1621,1546.6428314014427,189843.62,49.247417
1622,1546.6442203041966,189790.95,49.229404
1623,1546.645609206484,189891.92,49.228073
1624,1546.6469981092387,189693.86,49.191437
1625,1546.6483870119932,189827.44,49.229717
1626,1546.6497759147464,189786.11,49.209953
1627,1546.6511648174996,189842.36,49.235752
1628,1546.6525537202535,189870.08,49.244072
1629,1546.6539426230074,189879.92,49.234627
1630,1546.6553315252957,189844.84,49.238525
1631,1546.6567204280493,189844.25,49.207623
1632,1546.6581093308032,189779.33,49.224754
1633,1546.659498233557,189786.48,49.21093
1634,1546.6608871363103,189804.02,49.223576
1635,1546.6622760385985,189724.7,49.20749
1636,1546.663664941353,189852.84,49.220695
1637,1546.665053844107,189743.98,49.170525
1638,1546.6664427468602,189882.75,49.26185
1639,1546.667831649614,189759.34,49.235813
1640,1546.6692205519023,189799.58,49.244907
1641,1546.670609454656,189819.0,49.24589
1642,1546.6719983574098,189922.16,49.24413
1643,1546.6733872601637,189871.95,49.23232
1644,1546.674776162452,189746.86,49.215755
1645,1546.6761650652052,189859.03,49.246834
1646,1546.677553967959,189786.36,49.23193
1647,1546.678942870248,189847.28,49.247208
1648,1546.6803317730019,189794.89,49.222694
1649,1546.681720675755,189939.88,49.259716
1650,1546.683109578509,189764.38,49.223118
1651,1546.684498480797,189883.56,49.242367
1652,1546.6858873835502,189938.05,49.25799
1653,1546.687276286304,189742.6,49.2249
1654,1546.688665188593,189803.6,49.21037
1655,1546.6900540913468,189894.64,49.247696
1656,1546.6914429936344,189766.83,49.20069
1657,1546.6928318963883,189726.6,49.215984
1658,1546.6942207991422,189886.95,49.24777
1659,1546.6956097014304,189851.92,49.237835
1660,1546.6969986041843,189857.22,49.24196
1661,1546.6983875069382,189821.06,49.241
1662,1546.6997764092264,189820.14,49.239944
1663,1546.7011653119794,189768.16,49.222694
1664,1546.702554214267,189862.8,49.232414
1665,1546.7039431170215,189844.9,49.246456
1666,1546.7053320193104,189858.11,49.242264
1667,1546.7067209220636,189798.44,49.22896
1668,1546.7081098248175,189800.02,49.238766
1669,1546.7094987271057,189901.1,49.21539
1670,1546.710887629859,189718.55,49.203354
1671,1546.7122765321471,189815.42,49.225197
1672,1546.7136654349017,189838.39,49.203697
1673,1546.7150543371897,189849.5,49.218266
1674,1546.716443239943,189847.31,49.213432
1675,1546.7178321422305,189769.06,49.219406
1676,1546.719221044985,189646.61,49.207302
1677,1546.720609947274,189921.25,49.245117
1678,1546.7219988500271,189788.33,49.22441
1679,1546.7233877523154,189774.58,49.19504
1680,1546.7247766550693,189890.94,49.178486
1681,1546.7261655573568,189848.05,49.20248
1682,1546.727554459645,189789.9,49.21736
1683,1546.7289433623996,189855.88,49.243893
1684,1546.7303322646878,189872.88,49.231693
1685,1546.7317211674408,189736.17,49.205624
1686,1546.7331100697284,189754.8,49.19896
1687,1546.7344989724822,189879.14,49.220318
1688,1546.7358878747712,189727.8,49.182503
1689,1546.7372767770594,189841.2,49.228004
1690,1546.7386656798133,189744.64,49.200977
1691,1546.7400545821015,189796.19,49.223522
1692,1546.741443484389,189814.45,49.22556
1693,1546.742832387142,189749.33,49.183342
1694,1546.744221289431,189713.06,49.213535
1695,1546.7456101917198,189855.3,49.22024
1696,1546.746999094473,189735.5,49.20822
1697,1546.7483879967606,189841.81,49.24128
1698,1546.7497768990488,189804.98,49.229866
1699,1546.7511658018027,189745.88,49.217857
1700,1546.752554704091,189786.66,49.22764
1701,1546.7539436063798,189935.12,49.250927
1702,1546.7553325091337,189804.94,49.224686
1703,1546.7567214114213,189801.92,49.237106
1704,1546.7581103137088,189851.33,49.24835
1705,1546.7594992164625,189899.66,49.220226
1706,1546.7608881187514,189758.5,49.23424
1707,1546.7622770210396,189829.02,49.23999
1708,1546.7636659233278,189867.52,49.2302
1709,1546.7650548260817,189824.88,49.241665
1710,1546.7664437283693,190067.19,49.24398
1711,1546.7678326306575,189807.52,49.234955
1712,1546.7692215329464,189805.88,49.23
1713,1546.7706104352346,189885.69,49.22382
1714,1546.7719993379878,189752.4,49.22802
1715,1546.7733882402752,189788.0,49.207256
1716,1546.7747771425634,189779.36,49.245487
1717,1546.7761660448523,189759.16,49.23069
1718,1546.7775549471405,189888.23,49.24637
1719,1546.7789438494287,189788.67,49.23053
1720,1546.7803327521826,189713.78,49.239845
1721,1546.7817216544702,189677.89,49.2075
1722,1546.7831105567577,189694.06,49.22194
1723,1546.7844994590466,189880.69,49.216606
1724,1546.7858883613355,189837.06,49.20471
1725,1546.787277263623,189779.67,49.191902
1726,1546.7886661659106,189755.72,49.215134
1727,1546.7900550686643,189767.17,49.216614
1728,1546.7914439709525,189814.38,49.198368
1729,1546.7928328732407,189818.12,49.23468
1730,1546.7942217755296,189797.11,49.2245
1731,1546.7956106778179,189828.52,49.222004
1732,1546.7969995801054,189677.31,49.22487
1733,1546.798388482393,189755.56,49.248142
1734,1546.7997773846812,189876.92,49.2292
1735,1546.80116628697,189741.83,49.212677
1736,1546.802555189258,189815.06,49.20527
1737,1546.8039440915456,189923.6,49.237995
1738,1546.8053329938339,189756.02,49.210274
1739,1546.806721896122,189809.84,49.226154
1740,1546.8081107984096,189750.19,49.216915
1741,1546.8094997006986,189991.81,49.244762
1742,1546.8108886029875,189898.23,49.239933
1743,1546.812277505275,189748.08,49.19585
1744,1546.8136664075626,189803.39,49.235413
1745,1546.8150553098508,189803.23,49.230915
1746,1546.816444212139,189778.3,49.21291
1747,1546.817833114427,189700.48,49.21697
1748,1546.8192220167152,189779.42,49.214115
1749,1546.8206109190035,189778.27,49.202663
1750,1546.8219998212917,189883.3,49.203434
1751,1546.8233887235792,189803.03,49.218945
1752,1546.8247776258681,189876.31,49.22787
1753,1546.8261665276914,189882.64,49.23443
1754,1546.827555429979,189748.6,49.222507
1755,1546.8289443322665,189728.27,49.210217
1756,1546.8303332345547,189766.02,49.192738
1757,1546.8317221368427,189736.42,49.21523
1758,1546.833111039131,189720.58,49.218258
1759,1546.8344999414192,189739.44,49.216213
1760,1546.8358888437074,189767.42,49.207924
1761,1546.83727774553,189648.17,49.18074
1762,1546.8386666478175,189802.02,49.21998
1763,1546.8400555501057,189692.44,49.211105
1764,1546.8414444523946,189759.39,49.201714
1765,1546.8428333546829,189662.56,49.22554
1766,1546.8442222569704,189759.1,49.22136
1767,1546.845611158793,189773.92,49.232944
1768,1546.8470000610812,189779.2,49.20291
1769,1546.8483889633685,189780.34,49.209385
1770,1546.8497778656567,189844.17,49.223694
1771,1546.85116676748,189777.98,49.183685
1772,1546.8525556697682,189946.84,49.25344
1773,1546.8539445720558,189754.2,49.22506
1774,1546.855333474344,189750.25,49.19505
1775,1546.8567223761665,189831.97,49.203487
1776,1546.8581112784548,189744.36,49.189312
1777,1546.859500180743,189713.61,49.19345
1778,1546.8608890830312,189708.33,49.215847
1779,1546.8622779848536,189774.31,49.229992
1780,1546.863666887141,189840.34,49.239597
1781,1546.8650557894293,189888.7,49.251118
1782,1546.8664446912526,189830.22,49.22426
1783,1546.8678335935408,189765.16,49.202923
1784,1546.8692224958284,189856.02,49.218483
1785,1546.870611397651,189765.23,49.221577
1786,1546.8720002999391,189851.1,49.235664
1787,1546.8733892022274,189864.97,49.240265
1788,1546.87477810405,189864.19,49.222576
1789,1546.8761670063382,189886.89,49.22747
1790,1546.8775559086264,189923.55,49.216866
1791,1546.878944810448,189817.47,49.21836
